,title,rating,year
0,The Shawshank Redemption,9.3,(1994)
1,The Godfather,9.2,(1972)
2,The Dark Knight,9.0,(2008)
3,Schindler's List,9.0,(1993)
4,The Lord of the Rings: The Return of the King,9.0,(2003)
5,The Godfather Part II,9.0,(1974)
6,12 Angry Men,9.0,(1957)
7,Pulp Fiction,8.9,(1994)
8,Fight Club,8.8,(1999)
9,The Lord of the Rings: The Fellowship of the Ring,8.8,(2001)
10,Inception,8.8,(2010)
11,Forrest Gump,8.8,(1994)
12,The Lord of the Rings: The Two Towers,8.8,(2002)
13,"Il buono, il brutto, il cattivo",8.8,(1966)
14,Spider-Man: Across the Spider-Verse,8.7,(2023)
15,Interstellar,8.7,(2014)
16,Goodfellas,8.7,(1990)
17,The Matrix,8.7,(1999)
18,One Flew Over the Cuckoo's Nest,8.7,(1975)
19,Star Wars: Episode V - The Empire Strikes Back,8.7,(1980)
20,The Silence of the Lambs,8.6,(1991)
21,Se7en,8.6,(1995)
22,Sen to Chihiro no kamikakushi,8.6,(2001)
23,Saving Private Ryan,8.6,(1998)
24,The Green Mile,8.6,(1999)
25,Star Wars,8.6,(1977)
26,Cidade de Deus,8.6,(2002)
27,Terminator 2: Judgment Day,8.6,(1991)
28,La vita è bella,8.6,(1997)
29,It's a Wonderful Life,8.6,(1946)
30,Shichinin no samurai,8.6,(1954)
31,Seppuku,8.6,(1962)
32,Oppenheimer,8.5,(I) (2023)
33,Whiplash,8.5,(2014)
34,Alien,8.5,(1979)
35,Gladiator,8.5,(2000)
36,Psycho,8.5,(1960)
37,Back to the Future,8.5,(1985)
38,The Departed,8.5,(2006)
39,Gisaengchung,8.5,(2019)
40,The Prestige,8.5,(2006)
41,Léon,8.5,(1994)
42,Django Unchained,8.5,(2012)
43,American History X,8.5,(1998)
44,The Lion King,8.5,(1994)
45,The Usual Suspects,8.5,(1995)
46,The Pianist,8.5,(2002)
47,The Intouchables,8.5,(2011)
48,Casablanca,8.5,(1942)
49,Rear Window,8.5,(1954)
